abandon	elhagyott
abandoned	elhagyatott
abbey	apátság
abdominal	hasi
abilities	képességeit
ability	képesség
able	képes
abnormal	rendellenes
aboard	fedélzeten
abolished	megszüntették
aboriginal	bennszülött
abortion	abortusz
about	ról ről
above	felett
abraham	Ábrahám
abroad	külföldön
absence	hiány
absent	hiányzó
absolute	abszolút
absolutely	teljesen
absorb	elnyel
absorbed	elnyelt
absorption	abszorpció
abstract	absztrakt
abundance	bőség
abundant	bőséges
abuse	visszaélés
academic	akadémiai
academy	akadémia
accelerated	felgyorsult
accent	hangsúly
accept	elfogad
acceptable	elfogadható
acceptance	elfogadás
accepted	elfogadott
accepting	elfogadó
access	hozzáférés
accessible	hozzáférhető
accessories	kiegészítők
accident	baleset
accidentally	véletlenül
accidents	balesetek
acclaim	elismerést
accommodate	befogadni
accommodation	szállás
accompanied	kísért
accompany	kísérni
accomplished	teljesítve
accordance	összhangban
according	szerint
accordingly	Eszerint
account	fiókot
accounting	könyvelés
accounts	fiókok
accumulate	felhalmozódnak
accumulated	felgyülemlett
accumulation	felhalmozódás
accuracy	pontosság
accurate	pontos
accurately	pontosan
accused	vádlott
achieve	elérni
achieved	elért
achievement	teljesítmény
achievements	eredményeket
achieving	elérése
acid	sav
acids	savak
acoustic	akusztikus
acquire	szerez
acquired	szerzett
acquisition	beszerzés
across	át
act	törvény
acting	ható
action	akció
actions	akciók
activate	aktiválja
activated	aktív
activation	aktiválás
active	aktív
actively	aktívan
activist	aktivista
activists	aktivisták
activities	tevékenységek
activity	tevékenység
actor	színész
actors	szereplők
actress	színésznő
acts	cselekszik
actual	tényleges
actually	tulajdonképpen
acute	akut
ad	hirdetés
adam	Ádám
adapt	alkalmazkodni
adaptation	alkalmazkodás
adapted	adaptált
add	add hozzá
added	tette hozzá
addiction	függőség
adding	hozzátéve
addition	kiegészítés
additional	további
additionally	ezen felül
address	cím
addressed	címzett
addresses	címek
adds	hozzáteszi
adequate	megfelelő
adhesive	ragasztóanyag
adjacent	szomszédos
adjust	beállítani
adjustable	állítható
adjusted	beállított
adjustment	beállítás
administered	beadni
administration	adminisztráció
admiral	admirális
admire	csodál
admission	belépés
admit	beismerni
admitted	felvételt nyer
adopt	örökbe fogadni
adopted	fogadott
adoption	örökbefogadás
ads	hirdetéseket
adult	felnőtt
adults	felnőttek
advance	előleg
advanced	fejlett
advances	előlegeket
advantage	előny
advantages	előnyeit
advent	megérkezés
adventure	kaland
adventures	kalandok
adverse	kedvezőtlen
advertising	hirdető
advice	tanács
advise	tanácsol
advised	tanácsolta
advisory	tanácsadó
advocate	ügyvéd
advocates	szószólói
aerial	légi
aesthetic	esztétika
affair	ügy
affairs	ügyek
affect	befolyásolni
affected	érintett
affecting	befolyásoló
affects	érinti
affiliated	kapcsolt
afford	engedheti meg magának
affordable	megfizethető
afghan	afgán
afghanistan	Afganisztán
afraid	fél
africa	Afrika
African	afrikai
after	után
aftermath	utóhatása
afternoon	délután
afterwards	később
again	újra
against	ellen
age	kor
aged	idős
agencies	ügynökségek
agency	ügynökség
agenda	napirend
agent	ügynök
ages	korok
aggregator	aggregátor
aggressive	agresszív
aging	öregedés
ago	ezelőtt
Agree	Egyetért
agreed	egyetért
agreement	megegyezés
agreements	megállapodások
agricultural	mezőgazdasági
agriculture	mezőgazdaság
ahead	előre
aid	támogatás
aim	cél
aimed	célzott
aims	célokat
air	levegő
aircraft	repülőgép
aired	sugárzott
airing	szellőztetés
airline	légitársaság
airlines	légitársaságok
airport	repülőtér
alarm	riasztás
Alaska	Alaszka
albania	Albánia
albums	albumok
alcohol	alkohol
alcoholic	alkohol függő
alert	éber
alexander	Sándor
Algeria	Algéria
algorithm	algoritmus
algorithms	algoritmusok
alien	idegen
alive	élő
all	minden
allegations	vádakat
alleged	állítólagos
allegedly	állítólag
allergic	allergiás
alliance	szövetség
allied	szövetséges
allies	szövetségesei
allocated	kiosztott
allow	lehetővé teszi
allowed	megengedett
allowing	lehetővé téve
allows	lehetővé tesz
alloy	ötvözet
almost	majdnem
alone	egyedül
along	mentén
alongside	mellett
alpha	alfa
alphabet	ábécé
alpine	alpesi
Alps	Alpok
also	is
altar	oltár
alter	változtat
altered	megváltozott
alternate	váltakozó
alternative	alternatív
alternatives	alternatívák
although	habár
altitude	magasság
aluminum	alumínium
always	mindig
amazed	csodálkozva
amazing	elképesztő
ambassador	nagykövet
ambitious	ambiciózus
amendment	módosítás
america	Amerika
American	Amerikai
americans	amerikaiak
ammunition	lőszer
among	között
amongst	között
amount	összeg
amounts	összegeket
Amsterdam	Amszterdam
analog	analóg
analysis	elemzés
analytical	elemző
analyze	elemezni
analyzed	elemezte
analyzes	elemzések
ancestors	ősök
anchor	horgony
ancient	ősi
and	és
andrew	András
android	robot emberi külsővel
anemia	anémia
angel	angyal
angeles	angyalok
angels	angyalok
anger	harag
angle	szög
angles	szögek
anglo	angol
angry	mérges
animal	állat
animals	állatokat
animated	élénk
animation	élénkség
ankle	boka
anniversary	évforduló
announce	bejelenteni
announced	bejelentett
announcement	közlemény
annoying	bosszantó
annual	évi
annually	évente
anonymous	névtelen
another	egy másik
answer	válasz
answered	válaszolta
answers	válaszol
anterior	elülső
antibiotic	antibiotikum
antibiotics	antibiotikumok
antibodies	antitestek
antibody	ellenanyag
anxiety	szorongás
any	Bármi
anymore	többé
anyone	bárki
anything	bármi
anyway	akárhogyan is
anywhere	bárhol
apart	egymástól
apartment	lakás
apartments	apartmanok
apologize	bocsánatot kér
app	kb
apparatus	berendezés
apparent	látszólagos
apparently	látszólag
appeal	fellebbezés
appeals	fellebbezéseket
appear	megjelenik
appearance	kinézet
appearances	megjelenések
appeared	megjelent
appearing	megjelenő
appears	Megjelenik
appetite	étvágy
apple	alma
apples	alma
applicable	alkalmazható
application	Alkalmazás
applications	alkalmazások
applied	alkalmazott
applies	vonatkozik
apply	alkalmaz
applying	jelentkezését
appointed	kijelölt
appointment	időpont egyeztetés
appreciate	méltányol
appreciated	értékelt, megbecsült
approach	megközelítés
approached	közeledett
approaches	megközelít
approaching	közeledik
appropriate	megfelelő
approval	jóváhagyás
approve	jóváhagy
approved	jóváhagyott
approximately	hozzávetőlegesen
apps	alkalmazásokat
april	április
aquarium	akvárium
aquatic	vízi
arabia	Arábia
arabic	arab
arc	ív
arcade	árkád
arch	boltív
archaeological	régészeti
archbishop	érsek
architect	építészmérnök
architects	építészek
architectural	építészeti
architecture	építészet
archive	archívum
archives	levéltár
arctic	sarkvidéki
are	vannak
area	terület
areas	területeken
arena	aréna
arenas	arénák
Argentina	Argentína
Argentine	argentin
argue	vitatkozni
argued	érvelt
argues	azzal érvel
arguing	vitatkozik
argument	érv
arguments	érvek
arise	felmerülhet
arises	felmerül
arm	kar
armed	fegyveres
armenia	Örményország
Armenian	örmény
armies	hadseregek
armor	páncél
armored	páncélozott
arms	fegyver
army	hadsereg
aromatic	aromás
around	körül
arrange	rendezni
arranged	elrendezve
arrangement	elrendezés
arrangements	megállapodások
array	sor
arrest	letartóztatás
arrested	letartóztatott
arrival	érkezés
arrive	megérkezik
arrived	megérkezett
arrives	érkezik
arriving	érkező
arrogant	arrogáns
arrow	nyíl
arsenal	arzenál
art	Művészet
arteries	artériák
artery	artéria
arthritis	ízületi gyulladás
article	cikk
articles	cikkeket
artificial	mesterséges
artillery	tüzérségi
artist	művész
artistic	művészeti
artists	művészek
arts	művészetek
artwork	alkotás
as	mint
ash	hamu
ashamed	megszégyenülve
ashes	hamu
asia	Ázsia
asian	ázsiai
aside	félre
ask	kérdez
asked	kérdezte
asking	kérve
asks	kérdi
asleep	Alva
aspect	vonatkozás
aspects	szempontokat
assault	támadás
assembled	összeszerelve
assembly	összeszerelés
assess	felmérni
assessed	értékelték
assessment	értékelés
asset	eszköz
assets	eszközök
assigned	kijelölt
assignment	feladat
assist	segít
assistance	támogatás
assistant	helyettes
assisted	segített
associate	munkatárs
associated	társult
associates	munkatársai
association	Egyesület
associations	egyesületek
assume	feltételezni
assumed	feltételezte
assumption	feltevés
assumptions	feltételezések
asthma	asztma
asylum	bolondok háza
at	nál nél
ate	evett
Athens	Athén
athlete	sportoló
athletes	sportolók
athletic	atlétikai
athletics	atlétika
atlantic	atlanti
atmosphere	légkör
atmospheric	légköri
atomic	atom
atoms	atomok
attach	csatolni
attached	csatolt
attachment	mellékletet
attack	támadás
attacked	megtámadták
attacking	támadó
attacks	támadások
attempt	kísérlet
attempted	megkísérelte
attempting	megkísérelve
attempts	próbálkozások
